book_id,book_code,book_name,book_author,book_date,book_pub,book_in_date,book_imgpath
0100000101,01,그대 눈동자에 건배,히가시노 게이고,171127,현대문학,17-12-27,null
0100000201,01,꽃을 보듯 너를 본다,나태주,150620,지혜,15-07-20,null
0100000301,01,82년생 김지영,조남주,161014,민음사,16-11-14,null
0200000101,02,라틴어 수업,한동일,170630,흐름출판,17-07-30,null
0200000201,02,삶으로서의 은유,조지 레이코프 외 1명,061125,박이정,06-12-25,null
0200000301,02,중국문자학,손예철,030725,아카넷,03-08-25,null
0300000101,03,자유론,존 스튜어트 밀,160203,돋을새김,16-03-03,null
0300000201,03,심연 : 나를 깨우는 짧고 깊은 생각,배철현,180515,21세기북스,18-06-15,null
0300000301,03,스피노자와 정치,에티엔 발리바르,141230,그린비,15-01-30,null
0400000101,04,야단법석,법륜,151015,정토출판,15-11-15,null
0400000201,04,나를 돌보는 시간,김유비,180806,규장,18-09-06,null
0400000301,04,바디 바이블,이창우,180626,서우,18-07-26,null
0500000101,05,예술가가 사랑한 집,이케가미 히데히로,180720,페이퍼스토리,18-08-20,null
0500000201,05,컬러의 말,카시아 세인트 클레어,180610,윌북,18-07-10,null
0500000301,05,예술가들은 이렇게 말했다,함정임,180228,마로니에북스,18-03-28,null
0600000101,06,관광학 연구방법론,김사헌,000225,일신사,00-03-25,null
0600000206,06,한국 사회과학 개념사,하영선,180629,한울아카데미,18-07-29,null
0600000306,06,모두를 위한 사회과학,김윤태,170306,휴머니스트,17-04-06,null
0700000101,07,마우나케아의 어떤 밤,트린 주안 투안,180717,파우제,18-08-17,null
0700000201,07,지금 놀러갑니다 다른 행성으로,올리비아코스키,180618,지상의책,18-07-18,null
0700000301,07,날마다 천체 물리,닐 디그레스,180228,사이언스북스,18-03-28,null
0800000101,08,음향시스템 핸드북,장호준,120210,BIC미디어북스,12-03-10,null
0800000201,08,반도체 제대로 이해하기,강구창,051020,지성사,05-11-20,null
0800000301,08,로봇 수업,존 조던,180625,사이언스북스,18-07-25,null
0900000101,09,내일을 위한 역사학 강의,김기봉,180510,문학과지성사,18-06-10,null
0900000201,09,역사와 철학의 만남,이한구,170913,세창출판사,17-10-13,null
0900000301,09,제국의 시선,메리 루이스,150615,현실문화,15-07-15,null
1000000101,10,내일은 파리,온 더 로드,180901,착한책방,18-09-02,null
1000000201,10,나의 첫 자유여행 도쿄,이선미,180820,동양북스,18-09-02,null
1000000310,10,때때로 괜찮지 않았지만,여행자 MAY,180824,더시드컴퍼니,18-08-30,null
